Registration_Number,G1,G2,G3,G4,G5,G6,G7,Total,Percentage,Result
U05CG22A0001,82,90,91,82,71,87,45,548,78.28,Pass
U05CG22A0002,67,82,85,62,61,81,47,485,69.28,Pass
U05CG22A0003,67,87,89,79,90,83,36,531,75.85,Pass
U05CG22A0004,62,75,83,72,81,76,44,493,70.42,Pass
U05CG22A0005,67,86,87,67,66,83,50,506,72.28,Pass
U05CG22A0006,63,76,88,70,67,79,48,491,70.14,Pass
U05CG22A0007,63,63,63,63,63,63,63,441,63.00,Pass
U05CG22A0008,55,60,58,52,48,55,40,368,52.57,Pass
U05CG22A0009,57,70,81,66,58,66,46,444,63.42,Pass
U05CG22A0010,85,75,69,77,85,85,48,524,74.85,Pass
U05CG22A0011,71,78,78,83,76,77,42,505,72.14,Pass
U05CG22A0012,72,88,89,63,68,80,48,508,72.57,Pass
U05CG22A0013,71,88,92,81,69,79,45,525,75.00,Pass
U05CG22A0014,58,65,79,73,77,73,49,474,67.71,Pass
U05CG22A0015,80,87,87,88,97,89,49,577,82.42,Pass
U05CG22A0016,69,76,92,70,67,83,48,505,72.14,Pass
U05CG22A0017,64,67,84,47,59,68,49,438,62.57,Fail
U05CG22A0018,61,63,80,67,80,72,46,469,67.00,Pass
U05CG22A0019,40,45,50,38,42,44,35,294,42.00,Fail
U05CG22A0020,80,90,87,86,97,88,48,576,82.28,Pass
U05CG22A0021,73,62,82,80,81,73,42,493,70.42,Pass
U05CG22A0022,60,75,86,74,81,74,49,499,71.28,Pass
U05CG22A0023,35,42,55,30,38,45,28,273,39.00,Fail
U05CG22A0024,69,77,79,72,69,81,45,492,70.28,Pass
U05CG22A0025,64,78,78,63,60,68,48,459,65.57,Pass
U05CG22A0026,50,55,60,48,52,58,38,361,51.57,Pass
U05CG22A0027,80,83,89,82,66,78,50,528,75.42,Pass
U05CG22A0028,59,69,67,62,79,77,39,452,64.57,Pass
U05CG22A0029,45,73,73,64,70,79,43,447,63.85,Fail
U05CG22A0030,90,92,95,88,94,91,55,605,86.42,Pass
U05SK22A0048,61,67,80,78,85,54,46,471,67.28,Pass
U05SK22A0049,72,80,85,75,78,82,52,524,74.85,Pass
U05SK22A0050,55,62,70,60,65,68,44,424,60.57,Pass
U05SK22A0051,88,91,93,87,92,90,58,599,85.57,Pass
U05SK22A0052,42,48,55,40,45,50,32,312,44.57,Fail
U05SK22A0053,76,82,88,80,84,86,50,546,78.00,Pass
U05SK22A0054,66,72,78,68,70,74,46,474,67.71,Pass
U05SK22A0055,58,64,72,60,65,68,42,429,61.28,Pass
U05SK22A0056,83,88,90,85,87,89,55,577,82.42,Pass
U05SK22A0057,47,52,60,44,50,55,36,344,49.14,Fail
